# out_len red_len batch
# red_len walked DOWN TO 1 and UP PAST THE GATE. 96..256 are REGRESSION cells.
2048 1 512
2048 2 512
2048 4 512
2048 8 512
2048 16 512
2048 24 512
2048 32 512
2048 48 512
2048 64 512
2048 96 512
2048 128 512
2048 192 512
2048 256 512
256 1 512
256 8 512
256 16 512
256 32 512
256 48 512
256 64 512
256 96 512
256 128 512
256 256 512
64 8 512
64 32 512
64 64 512
64 96 512
64 128 512
2048 32 128
2048 64 128
2048 128 128
256 32 128
256 64 128
256 128 128
64 32 128
64 64 128
64 128 128
